,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
108,Toyota,Corolla,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,90 kW,1 798 ccm,89 g/km,Euro 6,29 204 km,10/2022,1,Metallic,,Used,,12/2026,,Lithium-ion (Li-ion),1 kWh,No,Full hybrid,,,,Petrol,,,29949
109,Volkswagen,Touareg,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,3 000 ccm,184 g/km,No emission class,6 000 km,11/2023,1,,,Demonstration car,,,11/2026,,,,,,,,,,,119249
110,Renault,Austral,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,147 kW,1 199 ccm,0 g/km,Euro 6,10 km,11/2023,,,1492,,,,,,,,,,,,,,,55049
111,Mazda,MX-5,Blue,Black interior,Cloth interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Manual,4x2,97 kW,1 496 ccm,143 g/km,Euro 6d,1 km,11/2023,,Metallic,1076,,Italy,,,,,,,,,,,,,35449
112,Kia,pro_cee'd / ProCeed,Green,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,150 kW,1 591 ccm,142 g/km,Euro 6d,3 000 km,11/2023,1,Metallic,,Demonstration car,,,,,,,,,,,,,,39449
113,Skoda,Kamiq,Grey,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,116 g/km,Euro 6,29 862 km,3/2022,1,,,Used,,12/2024,,,,,,,,,,,,26299
114,Opel,Combo,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,2,not published by the seller,Diesel,Manual,4x2,70 kW,1 248 ccm,133 g/km,Euro 6,77 051 km,6/2018,,,1265,Used,Netherlands,,,,,,,,,,,,,15649
115,MINI,One D Countryman,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,1 496 ccm,109 g/km,Euro 6,75 489 km,7/2019,,,1530,Used,,,,,,,,,,,,,,27249
116,Volkswagen,T6 California,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,179 g/km,Euro 6d,16 209 km,5/2023,,Metallic,2495,Used,Germany,,,,,,,,,,,,,68049
117,Volkswagen,Golf,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,115 g/km,Euro 6d-TEMP,57 200 km,4/2020,2,Metallic,,,,,,,,,,,,,,,,21449
118,Volkswagen,T-Cross,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,999 ccm,114 g/km,Euro 6d-TEMP,67 063 km,11/2019,1,,,,,,,,,,,,,,,,,18199
119,Citroen,C3,Black,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,61 kW,1 199 ccm,100 g/km,Euro 6,40 233 km,3/2021,,,,Used,,12/2024,,,,,,,,,,,,15349
120,Volkswagen,Polo,Black,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,999 ccm,105 g/km,Euro 6,19 000 km,8/2022,1,,,Used,,,,,,,,,,,,,,24749
121,Opel,Corsa,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,98 g/km,Euro 6d,45 300 km,7/2020,2,Metallic,,,,,,,,,,,,,,,,15299
122,Volkswagen,Crafter,Black,Other interior color,Other interior material,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Automatic,4x2,130 kW,1 998 ccm,196 g/km,No emission class,25 542 km,8/2022,,Metallic,,Used,Netherlands,,,,,,,,,,,,,67299
123,Mazda,MX-5,Black,Black interior,Part leather interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Manual,4x2,135 kW,1 998 ccm,156 g/km,Euro 6d,18 790 km,8/2022,1,Metallic,,,,,,,,,,,,,,,,30499
124,Audi,A4,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,130 kW,1 998 ccm,129 g/km,Euro 5,137 000 km,11/2013,,,,Used,,,,,,,,,,,,,,16399
125,Volkswagen,Caddy,Black,Black interior,Velour interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,90 kW,1 968 ccm,122 g/km,Euro 6d-TEMP,0 km,4/2023,,Metallic,,New,,,,,,,,,,,,,,44449
126,BMW,X6,Black,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,195 kW,2 993 ccm,161 g/km,Euro 6,47 000 km,7/2020,,Metallic,,,,,,,,,,,,,,,,83399
127,Mazda,CX-3,Red,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,89 kW,1 998 ccm,140 g/km,Euro 6,34 100 km,4/2021,,,,Used,,04/2024,,,,,,,,,,,,22049
128,BMW,118,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,100 kW,1 499 ccm,0 g/km,Euro 6,79 661 km,10/2016,2,Metallic,,,,,,,,,,,,,,,,16899
129,Mazda,CX-5,Grey,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x4,135 kW,2 191 ccm,147 g/km,Euro 6d-TEMP,32 690 km,11/2020,2,Metallic,,,,,11/2023,,,,,,,,,,,31349
130,Audi,e-tron,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,300 kW,,0 g/km,No emission class,5 000 km,11/2021,,,,Used,,,,Lithium-ion (Li-ion),95 kWh,No,,10 h,30 min,,,,,104299
131,Nissan,Juke,Grey,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,105 kW,1 598 ccm,111 g/km,No emission class,0 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,33649
132,Suzuki,Vitara,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,95 kW,1 373 ccm,104 g/km,Euro 6d-TEMP,1 002 km,11/2022,1,Metallic,,,,,,,,No,Mild hybrid,,,,,,,22049
133,Peugeot,3008,Red,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,221 kW,1 598 ccm,124 g/km,Euro 6,49 899 km,1/2021,,,,Used,,12/2024,,,14 kWh,No,Full hybrid,,,59 km,,,,34599
134,Skoda,Enyaq,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,Euro 6d-TEMP,20 090 km,4/2021,,Metallic,2075,Used,,,,Lithium-ion (Li-ion),82 kWh,No,,,,,,,,50649
135,Seat,Ibiza,White,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,104 g/km,Euro 6d-TEMP,42 735 km,11/2020,1,,,,,,11/2023,,,,,,,,,,,17699
136,Mazda,6,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,143 kW,2 488 ccm,156 g/km,Euro 6d,16 890 km,9/2022,1,Metallic,,,,,,,,,,,,,,,,33749
137,Opel,Crossland,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,112 g/km,Euro 6d,9 904 km,7/2022,1,Metallic,,,,,,,,,,,,,,,,23299
138,Tesla,Model 3,White,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,324 kW,,0 g/km,No emission class,85 970 km,3/2019,,Metallic,1831,Used,,,,Lithium-ion (Li-ion),,No,,,,,,,,34549
139,Peugeot,3008,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,1 499 ccm,102 g/km,Euro 6,109 167 km,11/2019,,,,Used,,12/2024,,,,,,,,,,,,21599
140,Mitsubishi,Space Star,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,52 kW,1 193 ccm,116 g/km,Euro 6d,0 km,7/2023,,Metallic,,New,,,,,,,,,,,,,,16749
141,Fiat,500,White,,,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,63 kW,875 ccm,108 g/km,Euro 6,40 128 km,6/2019,,,,Used,,12/2024,,,,,,,,,,,,13399
142,Volkswagen,T-Roc,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 498 ccm,120 g/km,Euro 6,4 146 km,5/2023,1,,,Used,,,05/2026,,,,,,,,,,,30449
143,BMW,440,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,275 kW,2 998 ccm,0 g/km,Euro 6d,9 416 km,4/2023,1,Metallic,,,,,,,,,,,,,,,,61999
144,Audi,A3,Black,,,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,150 kW,1 395 ccm,109 g/km,Euro 6,41 840 km,5/2020,,,,Used,,12/2024,,Lithium-ion (Li-ion),9 kWh,No,Plug-in hybrid,4 h,,,,12 l/100km,,28349
145,Hyundai,Staria,Grey,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,130 kW,2 199 ccm,0 g/km,Euro 6d,18 400 km,8/2022,,Metallic,,Used,Germany,,,,,,,,,,,,,53649
146,Volkswagen,Golf,Blue,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,103 g/km,Euro 6,44 776 km,9/2022,1,,,Used,,12/2024,,,,,,,,,,,,28899
147,Cupra,Leon,Grey,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,213 kW,1 984 ccm,152 g/km,Euro 6,46 850 km,10/2020,,,1431,Used,Germany,,,,,,,,,,,,,29599
148,Peugeot,208,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,3 200 km,12/2022,,Metallic,,Demonstration car,,,,,,,,,,,,,,31799
149,Toyota,Aygo,White,,,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,53 kW,998 ccm,95 g/km,Euro 6,19 694 km,9/2020,,,,Used,,12/2026,,,,,,,,,,,,12899
150,Citroen,C4,Blue,Grey interior,Full leather interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,8 119 km,6/2022,,Metallic,1536,Used,,,,,,,,,,,,,,33849
151,BMW,X5 M,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,390 kW,4 395 ccm,303 g/km,Euro 6d-TEMP,51 400 km,5/2020,,Metallic,,Used,Germany,,,,,,,,,,,,,79449
152,Land Rover,Range Rover Evoque,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,227 kW,1 497 ccm,154 g/km,No emission class,49 700 km,5/2021,,,2157,Used,Italy,,,,,,,,,,,,,57499
153,MINI,Electric,Silver,Black interior,Full leather interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,135 kW,,0 g/km,No emission class,20 000 km,8/2020,,Metallic,1440,Used,,,,,,,,,,,,,,26699
154,Peugeot,2008,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,25 517 km,1/2021,,Metallic,,,,,,,,,,,,,,,,27299
155,Volkswagen,Golf,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 498 ccm,117 g/km,Euro 6d,11 844 km,1/2023,1,Metallic,,Used,,,01/2024,,,,,,,,,,,28899
156,Toyota,Aygo,Grey,,,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,53 kW,998 ccm,95 g/km,Euro 6,17 845 km,7/2020,,Metallic,,Used,,12/2026,,,,,,,,,,,,13899
157,Mercedes-Benz,C 220,Grey,Other interior color,Other interior material,Coupe,2/3 doors,4,not published by the seller,Diesel,Automatic,4x4,143 kW,1 950 ccm,129 g/km,Euro 6,49 950 km,8/2020,,,,,,,,,,,,,,,,,,46999
158,Honda,HR-V,Black,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 498 ccm,120 g/km,Euro 6,16 400 km,10/2018,1,,,Used,,,,,,,,,,,,,,20499
159,Mercedes-Benz,E 300,Black,Grey interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,180 kW,1 950 ccm,147 g/km,Euro 6d-TEMP,163 961 km,1/2019,,Metallic,1735,Used,,,,,,,,,,,,,,38399
160,BMW,X4,Red,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,240 kW,2 993 ccm,162 g/km,Euro 6c,71 600 km,1/2020,2,Metallic,,,,,03/2025,,,,,,,,,,,52199
161,Nissan,Leaf,Grey,Other interior color,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,110 kW,,0 g/km,No emission class,27 834 km,12/2019,,,1480,Used,,,,Lithium-ion (Li-ion),40 kWh,No,,,60 min,,,,,21099
162,Audi,Q3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 968 ccm,146 g/km,Euro 6d-TEMP,112 370 km,5/2019,1,Metallic,,,,,,,,,,,,,,,,30999
163,Skoda,Enyaq,Black,Black interior,Alcantara interior,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x2,210 kW,,0 g/km,No emission class,0 km,8/2023,,Metallic,,New,,,,Lithium-ion (Li-ion),82 kWh,No,,8 h,28 min,,,,,63799
164,Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,999 ccm,116 g/km,Euro 6d-TEMP,35 619 km,3/2020,1,,,,,,,,,,,,,,,,,19549
165,Smart,ForTwo,Grey,Other interior color,Other interior material,Hatchback,2/3 doors,2,not published by the seller,Electric,Automatic,4x2,60 kW,,0 g/km,No emission class,25 187 km,8/2020,,,1125,Used,,,,Lithium-ion (Li-ion),18 kWh,No,,1 h,,,,,,18449
166,Renault,Clio,Silver,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,898 ccm,105 g/km,Euro 6,46 365 km,1/2019,,Metallic,,,,,,,,,,,,,,,,11799
167,Volvo,XC60,Grey,,,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x4,224 kW,1 969 ccm,147 g/km,Euro 6d-TEMP,96 820 km,5/2019,,Metallic,,,,,,Lithium-ion (Li-ion),,No,,3 h,,,,,,40149
168,Volkswagen,T-Roc,White,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,124 g/km,Euro 6,30 850 km,3/2022,1,,,Used,,12/2024,,,,,,,,,,,,31499
169,Citroen,C3,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,61 kW,1 199 ccm,100 g/km,Euro 6,50 185 km,6/2021,1,Metallic,,Used,,12/2024,,,,,,,,,,,,14899
170,Audi,Q2,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,1 968 ccm,107 g/km,Euro 6d,19 044 km,1/2022,,Metallic,1455,Used,,,,,,,,,,,,,,29249
171,Fiat,500L,Grey,Other interior color,Other interior material,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,1 368 ccm,140 g/km,Euro 6d-TEMP,39 371 km,8/2020,,,1375,Used,,,,,,,,,,,,,,15849
172,Mercedes-Benz,A 180,Black,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,90 kW,1 595 ccm,131 g/km,Euro 6,48 364 km,6/2017,2,,,,,,,,,,,,,,,,,20999
173,Volkswagen,Tiguan,Silver,Grey interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,180 kW,1 984 ccm,168 g/km,Euro 6d,9 800 km,8/2023,1,Metallic,,Demonstration car,,,,,,,,,,,,,,57349
174,Mercedes-Benz,GLC 220,Black,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,145 kW,1 993 ccm,136 g/km,Euro 6d-TEMP,35 377 km,11/2022,,Metallic,2000,Used,,,,,,,,,,,,,,70399
175,Skoda,Octavia,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,119 g/km,Euro 6d-TEMP,47 103 km,10/2019,,Metallic,,Used,Germany,,,,,,,,,,,,,22199
176,Seat,Ateca,White,Grey interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,1 968 ccm,124 g/km,Euro 6d-TEMP,61 200 km,9/2020,1,Metallic,,,,,08/2025,,,,,,,,,,,25949
177,Mercedes-Benz,E 63 AMG,Blue,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,420 kW,3 982 ccm,280 g/km,Euro 6d-TEMP,58 542 km,10/2018,1,Metallic,,,,,,,,,,,,,,,,66949
178,Volkswagen,Golf,Black,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,104 g/km,Euro 6,21 916 km,3/2023,1,,,Used,,05/2024,,,,,,,,,,,,26199
179,BMW,420,Black,,,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,135 kW,1 998 ccm,152 g/km,Euro 6,15 261 km,3/2022,,Metallic,,Used,,12/2025,,,,,,,,,,,,59599
180,Honda,CR-V,Blue,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,158 kW,1 993 ccm,126 g/km,Euro 6,5 000 km,9/2023,,,,Used,,05/2024,,,,No,,,,,Petrol,,,56899
181,Seat,Ateca,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,999 ccm,122 g/km,Euro 6d-TEMP,75 000 km,3/2020,,,,Used,,,,,,,,,,,,,,22399
182,Peugeot,308,Black,,,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,109 g/km,Euro 6,43 376 km,8/2019,1,Metallic,,Used,,12/2024,,,,,,,,,,,,18999
183,BMW,118,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,1 499 ccm,0 g/km,No emission class,46 609 km,9/2020,,Metallic,,Used,Germany,,,,,,,,,,,,,20299
184,Audi,A4,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,1 968 ccm,115 g/km,Euro 6,138 939 km,8/2018,2,,,,,,,,,,,,,,,,,21099
185,BMW,X1,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,170 kW,1 995 ccm,133 g/km,Euro 6,93 851 km,3/2018,,,1650,Used,Germany,,,,,,,,,,,,,23599
186,Opel,Corsa,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,0 km,8/2023,,,1530,New,,,,Lithium-ion (Li-ion),50 kWh,No,,,30 min,,,,,28199
187,Volkswagen,Polo,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,71 kW,999 ccm,110 g/km,Euro 6,53 140 km,11/2021,,Metallic,1072,Used,,,,,,,,,,,,,,20049
188,Fiat,500,Grey,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,999 ccm,88 g/km,No emission class,30 531 km,7/2022,,Metallic,,,,,,,,,,,,,,,,14299
189,Volkswagen,Golf,Yellow,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 598 ccm,109 g/km,Euro 6,128 800 km,11/2018,1,Metallic,,,,,,,,,,,,,,,,15649
190,BMW,330,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,210 kW,2 993 ccm,116 g/km,Euro 6,11 854 km,5/2022,1,Metallic,,,,,,,,,,,,,,,,49499
191,Citroen,C3,Grey,Grey interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,1 199 ccm,106 g/km,Euro 6,67 286 km,5/2019,,,,Used,,12/2024,,,,,,,,,,,,14199
192,Peugeot,Partner,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,73 kW,1 560 ccm,112 g/km,Euro 6,157 648 km,4/2019,,,1449,Used,Belgium,,,,,,,,,,,,,13399
193,Audi,A3,Grey,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,150 kW,1 395 ccm,117 g/km,Euro 6,22 960 km,6/2020,,Metallic,,Used,Germany,,,Lithium-ion (Li-ion),,No,,4 h,,,,,,27399
194,Volkswagen,Taigo,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 500 ccm,116 g/km,Euro 6d,10 119 km,6/2023,,,,Used,,,,,,,,,,,,,,27799
195,Opel,Corsa,Red,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,103 g/km,Euro 6d,23 950 km,7/2022,1,Metallic,,,,,,,,,,,,,,,,20749
196,Volvo,V60,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 969 ccm,109 g/km,Euro 6,161 000 km,6/2018,2,Metallic,,,,,09/2025,,,,,,,,,,,13849
197,Mercedes-Benz,C 180,Silver,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,115 kW,1 595 ccm,116 g/km,Euro 6,122 000 km,3/2013,,Metallic,1470,Used,,,,,,,,,,,,,,12649
198,Fiat,500,Red,Black interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,87 kW,,0 g/km,No emission class,10 km,9/2023,,,1365,New,Germany,,,Lithium-ion (Li-ion),42 kWh,No,,4 h,34 min,,,,,35249
199,Peugeot,308,Blue,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 199 ccm,115 g/km,Euro 6d,0 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,30599
200,Opel,Astra,Silver,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,102 g/km,Euro 6,5 990 km,3/2023,1,Metallic,,Used,,,03/2024,,,,,,,,,,,32099
201,Fiat,500,Red,Black interior,Part leather interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,77 kW,875 ccm,99 g/km,Euro 6,42 393 km,10/2017,,,,,,,10/2024,,,,,,,,,,,12849
202,Mercedes-Benz,Sprinter,White,Black interior,Other interior material,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,110 kW,1 950 ccm,251 g/km,Euro 6d,25 km,4/2023,1,,,,,,,,,,,,,,,,,50999
203,BMW,750,Grey,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,294 kW,2 993 ccm,166 g/km,Euro 6,72 676 km,11/2018,1,Metallic,,,,,11/2023,,,,,,,,,,,55249
204,Kia,Picanto,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,62 kW,1 197 ccm,104 g/km,Euro 6,9 500 km,5/2023,1,Metallic,,,,,05/2024,,,,,,,,,,,16349
205,Fiat,Tipo,Red,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,1 598 ccm,117 g/km,Euro 6d-TEMP,73 000 km,12/2019,,,1395,Used,Germany,,,,,,,,,,,,,16399
